domain,system,question_no,question_id,prompt_type,thinking_level,input_tokens_mean,input_tokens_std,input_tokens_var,input_tokens_count,output_tokens_mean,output_tokens_std,output_tokens_var,output_tokens_count,reasoning_tokens_mean,reasoning_tokens_std,reasoning_tokens_var,reasoning_tokens_count,cached_tokens_mean,cached_tokens_std,cached_tokens_var,cached_tokens_count,tool_tokens_mean,tool_tokens_std,tool_tokens_var,tool_tokens_count,total_tokens_mean,total_tokens_std,total_tokens_var,total_tokens_count,cost_usd_mean,cost_usd_std,cost_usd_var,cost_usd_count,latency_s_mean,latency_s_std,latency_s_var,latency_s_count
cyber_loghub,Hadoop,1,q1_leaserenewer,full,low,184403.0,0.0,0.0,3,442.3333333333333,66.21429855653034,4384.333333333335,3,1534.6666666666667,346.759763140612,120242.33333333331,3,60063.666666666664,104033.32235554786,10822932160.333334,3,0.0,0.0,0.0,3,186380.0,408.77499923552074,167097.0,3,0.28441533333333335,0.18244028617970687,0.03328445802133334,3,23.006333333333334,3.8478547703016712,14.805986333333326,3
cyber_loghub,Hadoop,1,q1_leaserenewer,garbage,high,184695.0,0.0,0.0,3,579.0,133.83198421901994,17911.0,3,2861.6666666666665,601.3271433532111,361594.3333333333,3,60067.0,104039.09585823976,10824133467.0,3,0.0,0.0,0.0,3,188135.66666666666,581.1379641129377,337721.33333333005,3,0.30255733333333334,0.18046629819812157,0.03256808478533334,3,36.285666666666664,4.288450341712418,18.39080633333335,3
cyber_loghub,Hadoop,1,q1_leaserenewer,garbage,low,184695.0,0.0,0.0,3,430.3333333333333,65.6835849610337,4314.333333333332,3,866.0,208.0264406271472,43275.0,3,120127.33333333333,104033.32235554786,10822932160.333334,3,0.0,0.0,0.0,3,185991.33333333334,194.35620219929325,37774.33333333256,3,0.16871666666666665,0.18849338629600065,0.035529756677333324,3,15.281999999999998,2.9048092880600613,8.437917,3
cyber_loghub,Hadoop,2,q2_taskattempt,context,high,1809.0,0.0,0.0,3,374.0,0.0,0.0,3,2154.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,4337.0,0.0,0.0,3,0.033954,0.0,0.0,3,20.725333333333335,0.19211541669874765,0.03690833333333345,3
cyber_loghub,Hadoop,2,q2_taskattempt,context,low,1809.0,0.0,0.0,3,247.33333333333334,10.969655114602888,120.33333333333331,3,1153.0,161.9475223644993,26227.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3209.3333333333335,165.48816674715238,27386.33333333331,3,0.020422,0.0019858580009658303,3.943632000000004e-06,3,11.579,0.5803645406121911,0.33682299999999965,3
cyber_loghub,Hadoop,2,q2_taskattempt,full,high,184386.0,0.0,0.0,3,317.3333333333333,2.886751345948133,8.333333333333357,3,7678.666666666667,2.8867513459481944,8.333333333333712,3,60067.0,104039.09585823976,10824133467.0,3,0.0,0.0,0.0,3,192382.0,0.0,0.0,3,0.3566033333333333,0.1872704880148854,0.03507023568133334,3,70.91000000000001,2.486332439558311,6.181848999999982,3
cyber_loghub,Hadoop,2,q2_taskattempt,full,low,184386.0,0.0,0.0,3,402.3333333333333,100.68432516202974,10137.333333333336,3,2255.3333333333335,693.1971821446862,480522.33333333326,3,60063.666666666664,104033.32235554786,10822932160.333334,3,0.0,0.0,0.0,3,187043.66666666666,785.8169846302251,617508.3333333394,3,0.29254933333333333,0.1785298388654774,0.03187290336533333,3,30.143333333333334,10.117825326290887,102.3703893333333,3
cyber_loghub,Hadoop,2,q2_taskattempt,garbage,high,184678.0,0.0,0.0,3,303.0,19.05255888325765,363.0,3,7013.666666666667,1157.5872897251998,1340008.3333333337,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,191994.66666666666,1176.6398486084531,1384481.3333333235,3,0.45715600000000006,0.014119678183301475,0.00019936531199999963,3,66.52066666666667,6.7651634372965,45.76743633333339,3
cyber_loghub,Hadoop,2,q2_taskattempt,garbage,low,184678.0,0.0,0.0,3,252.33333333333334,61.61439225808637,3796.3333333333335,3,2191.3333333333335,422.07147893850083,178144.33333333337,3,120127.33333333333,104033.32235554786,10822932160.333334,3,0.0,0.0,0.0,3,187121.66666666666,450.0781413636192,202570.33333332997,3,0.18245066666666665,0.19181704501251534,0.036793778757333334,3,25.399333333333335,3.7715122077667123,14.224304333333341,3
cyber_loghub,Hadoop,3,q3_container,context,high,1652.0,0.0,0.0,3,428.6666666666667,36.950417228136054,1365.333333333334,3,930.3333333333334,75.05553499465134,5633.333333333331,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3011.0,38.1051177665153,1452.0,3,0.019612,0.0004572614131981842,2.0908800000000056e-07,3,12.346333333333334,0.21965730885480098,0.04824933333333343,3
cyber_loghub,Hadoop,3,q3_container,context,low,1652.0,0.0,0.0,3,113.0,45.574115460423364,2077.0,3,458.6666666666667,21.455380055672137,460.3333333333337,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,2223.6666666666665,58.39805932848564,3410.3333333333285,3,0.010164,0.000700776711941828,4.910879999999998e-07,3,6.007000000000001,0.3859961139700762,0.14899300000000007,3
cyber_loghub,Hadoop,3,q3_container,full,high,184354.0,0.0,0.0,3,286.0,20.074859899884732,403.0,3,488.3333333333333,54.50076452063157,2970.3333333333326,3,60067.0,104039.09585823976,10824133467.0,3,0.0,0.0,0.0,3,185128.33333333334,74.06978691297792,5486.333333333954,3,0.26987933333333336,0.18815730759482432,0.03540317240133334,3,14.034333333333334,2.8239710220420693,7.97481233333333,3
cyber_loghub,Hadoop,3,q3_container,full,low,184354.0,0.0,0.0,3,334.6666666666667,128.46140795325783,16502.333333333336,3,515.0,64.8613906727261,4207.0,3,120127.33333333333,104033.32235554786,10822932160.333334,3,0.0,0.0,0.0,3,185203.66666666666,192.78053152051547,37164.333333332455,3,0.16267466666666666,0.18957068576479155,0.03593704490133334,3,13.563666666666668,3.4729195690849695,12.06117033333333,3
